DATE,HC01ESTVC1713067
2010-01-01,43.8
2011-01-01,44
2012-01-01,43.8
2013-01-01,43.7
2014-01-01,43.8
2015-01-01,44.1
2016-01-01,45.0
2017-01-01,45.5
2018-01-01,46.5
2019-01-01,47.4
2020-01-01,48.4
2021-01-01,49.0
2022-01-01,49.7
