DATE,HC01ESTVC1713223
2010-01-01,20.8
2011-01-01,22.3
2012-01-01,23
2013-01-01,23.4
2014-01-01,23.3
2015-01-01,23.8
2016-01-01,24.6
2017-01-01,24.4
2018-01-01,24.1
2019-01-01,22.6
2020-01-01,23.9
2021-01-01,25.9
2022-01-01,26.5
