DATE,HC01ESTVC1713077
2010-01-01,25.7
2011-01-01,26.2
2012-01-01,26.1
2013-01-01,26.9
2014-01-01,26.6
2015-01-01,27.6
2016-01-01,28.1
2017-01-01,29.0
2018-01-01,29.8
2019-01-01,30.3
2020-01-01,33.3
2021-01-01,33.7
2022-01-01,34.1
