DATE,HC01ESTVC1713045
2010-01-01,18.3
2011-01-01,18.4
2012-01-01,18.8
2013-01-01,18.3
2014-01-01,18.3
2015-01-01,17.9
2016-01-01,18.2
2017-01-01,19.6
2018-01-01,20.6
2019-01-01,21.1
2020-01-01,22.1
2021-01-01,21.5
2022-01-01,21.2
